val_year,val_mth,pol_id,prod_code,red,group,elap_mth,elap_mth_pol,age_1,term,sex_1,frac_pol,pr_curr,pr_init,pr_acc,pr_freq,pr_inc_pct,pr_inc_ind,pr_term,pct_sa_acc,basis_ps,bon_curr,bon_pct,lin_sa_dth,lin_sa_dth_ind,lin_sa_mat,lin_sa_mat_ind,lin_pr,lex_pr,com1,com2,com3,com4,com5,com6,com7,com8,com9,com10,res_db,res_nt_db,sa_dth,sa_mat,sa_mat_riders,table_res,pct_res,table_res_nt,pct_res_nt,ind_table,ind_table_nt,sa_inc_ind,sa_inc_pct,surr_type,surr_penalty,it,it_nt,it_rop,db_type_t,sa_dth_inc_ind,sa_dth_inc_pct,age_shift_res,inc_term_yr,val_int_loan,pr_init_original,rop_type_t,modal_load,inc_at_mat,ind_matching,it_matching,fund_name,portfolio,prod_code_scr,sa_dth_original,flag_wl_int2,int2,term_int2,bonus_type,year_birth1,table_tariff,edad_derechos,cohort_base,policies_curr
2019,12,BIVU004203_3995,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-6,0,628,72,F,1,4999.998535,4999.998535,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,4988.918945,4988.918945,0,5136.109863,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,4999.998535,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1968,NA,0,321-2020,1
2019,12,BIVU004201_3993,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-6,0,628,72,F,1,4999.998535,4999.998535,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,4988.918945,4988.918945,0,5136.109863,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,4999.998535,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1968,NA,0,321-2020,1
2019,12,BIVU004219_4005,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-6,0,967,72,F,1,11183,11183,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,11157.30469,11157.30469,0,11504.40039,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,11183,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1939,NA,0,321-2020,1
2019,12,BIVU003500_3972,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-5,0,700,72,F,1,34999.99609,34999.99609,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,34934.39844,34934.39844,0,35958.23828,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,34999.99609,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1962,NA,0,321-2020,1
2019,12,BIVU003462_3970,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-5,0,514,72,F,1,99999.99219,99999.99219,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.01,0,0,0,0,0,0,0,0,0,0,99319.58594,99319.58594,0,102187.3203,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,99999.99219,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1977,NA,0,321-2020,1
2019,12,BIVU002853_3948,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-4,0,791,72,F,1,26999.99805,26999.99805,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,26960.02148,26960.02148,0,27749.85938,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,26999.99805,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1954,NA,0,321-2020,1
2019,12,BIVU002802_3947,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-4,0,726,72,F,1,1768.004272,1768.004272,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.01,0,0,0,0,0,0,0,0,0,0,1756.613159,1756.613159,0,1807.060059,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,1768.004272,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1959,NA,0,321-2020,1
2019,12,BIVU002748_3946,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-4,0,1034,72,M,1,34888.00781,34888.00781,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,34838.60938,34838.60938,0,35890.69141,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,34888.00781,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1934,NA,0,321-2020,1
2019,12,BIVU002741_3945,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-4,0,445,72,M,1,5100.002441,5100.002441,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,5093.478516,5093.478516,0,5237.959961,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,5100.002441,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1983,NA,0,321-2020,1
2019,12,BIVU002731_3944,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-4,0,678,72,F,1,1062.998291,1062.998291,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.01,0,0,0,0,0,0,0,0,0,0,1056.204224,1056.204224,0,1086.400024,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,1062.998291,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1963,NA,0,321-2020,1
2019,12,BIVU002730_3943,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-4,0,746,72,F,1,7375.998047,7375.998047,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.01,0,0,0,0,0,0,0,0,0,0,7328.769043,7328.769043,0,7539.120117,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,7375.998047,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1958,NA,0,321-2020,1
